millis|latitude|longitude|satellites|hdop|kmh|altitude
356580|48.413543|9.071585|8|1.0|1.00|484.40
362589|48.413547|9.071592|9|0.9|0.31|485.50
368598|48.413566|9.071593|9|0.9|0.98|489.30
374607|48.413589|9.071608|8|1.1|0.59|494.30
380617|48.413578|9.071606|8|1.1|0.48|493.70
386634|48.413574|9.071588|9|0.9|0.48|491.00
392750|48.413578|9.071576|9|0.9|0.30|491.00
398862|48.413578|9.071575|10|0.9|0.19|492.40
404977|48.413578|9.071573|10|0.9|0.35|493.40
411063|48.413578|9.071566|10|0.9|0.15|493.70
417072|48.413581|9.071561|10|0.9|0.41|494.20
423081|48.413585|9.071559|10|0.9|0.30|494.00
429092|48.413581|9.071561|10|0.9|0.35|493.00
435102|48.413574|9.071561|10|0.9|0.15|491.50
441112|48.413566|9.071562|10|0.9|0.00|489.40
447121|48.413566|9.071566|10|0.9|0.06|488.50
453130|48.413570|9.071570|10|0.9|0.33|488.30
459139|48.413566|9.071577|10|0.9|0.17|487.90
465148|48.413562|9.071580|10|0.9|0.04|487.30
471158|48.413562|9.071582|10|0.9|0.09|488.20
477168|48.413562|9.071586|10|0.9|0.13|488.40
483178|48.413558|9.071585|10|0.9|0.15|488.20
489187|48.413558|9.071584|10|0.9|0.11|488.20
495197|48.413555|9.071583|10|0.9|0.11|489.40
501206|48.413547|9.071587|10|0.9|0.22|488.60
507215|48.413543|9.071588|10|0.9|0.15|488.30
513225|48.413543|9.071588|10|0.9|0.15|488.40
519291|48.413539|9.071593|10|0.9|0.17|488.50
525405|48.413536|9.071598|10|0.9|0.17|487.80
531518|48.413536|9.071599|10|0.9|0.31|487.90
537633|48.413536|9.071599|10|0.9|0.09|487.90
543657|48.413536|9.071600|10|0.9|0.67|487.70
549667|48.413536|9.071601|10|0.9|0.54|488.20
555677|48.413532|9.071601|10|0.9|0.30|488.00
561694|48.413536|9.071603|10|0.9|0.24|489.10
567705|48.413536|9.071601|10|0.8|0.04|490.10
573715|48.413536|9.071603|10|0.8|0.13|489.80
579725|48.413532|9.071605|10|0.9|0.13|489.60
585735|48.413532|9.071607|10|0.8|0.52|490.70
591746|48.413528|9.071603|10|0.8|0.13|490.20
597756|48.413528|9.071603|10|0.8|0.37|490.80
603767|48.413528|9.071599|10|0.8|1.02|490.80
609778|48.413528|9.071600|10|0.8|0.94|490.10
615789|48.413532|9.071597|10|0.8|0.19|488.80
621799|48.413536|9.071595|10|0.8|0.11|488.50
627810|48.413536|9.071601|10|0.8|0.19|489.00
633820|48.413536|9.071605|10|0.8|0.11|489.30
639831|48.413536|9.071605|10|0.8|0.04|489.30
645858|48.413536|9.071604|10|0.8|0.04|488.90
651985|48.413536|9.071608|10|0.8|0.11|488.90
658113|48.413532|9.071608|10|0.8|0.52|488.40
664241|48.413532|9.071612|10|0.8|0.19|488.70
670269|48.413536|9.071620|10|0.8|0.17|489.70
676279|48.413532|9.071620|10|0.9|0.24|489.40
682289|48.413536|9.071614|10|0.9|0.02|488.50
688300|48.413536|9.071608|10|0.8|0.11|488.30
694311|48.413536|9.071605|10|0.8|0.15|488.20
700322|48.413547|9.071603|10|0.8|2.96|488.70
706333|48.413547|9.071592|10|0.8|0.20|487.80
712344|48.413539|9.071597|10|0.8|0.13|487.00
718354|48.413532|9.071599|10|0.8|0.11|485.70
724364|48.413528|9.071597|10|0.8|0.17|485.40
730374|48.413528|9.071592|10|0.8|0.07|484.80
736385|48.413528|9.071591|10|0.8|0.11|484.70
742395|48.413524|9.071591|10|0.8|0.19|484.40
748406|48.413524|9.071593|10|0.8|0.13|484.70
754417|48.413524|9.071595|10|0.8|0.15|485.40
760429|48.413524|9.071592|10|0.8|0.02|485.40
766439|48.413528|9.071591|10|0.8|0.06|485.20
772469|48.413536|9.071597|9|1.0|0.06|485.70
778596|48.413524|9.071609|9|1.0|1.26|485.70
784722|48.413509|9.071594|10|0.9|0.19|486.40
790850|48.413501|9.071595|10|0.8|0.13|486.40
